StudentId,StudentName,Grade,Subject,CompletionPercentage,PerformanceScore,TimeSpentMinutes,AssignmentCompletionRate,AssessmentScore,RecordedDate,LastActivityDate
"Student 1","9","Math",90.00,0.00,231,52.00,62.00,2025-06-04 15:47:49
"Student 1","9","Reading",59.00,0.00,61,77.00,92.00,2025-04-13 15:47:49
"Student 1","9","Science",87.00,0.00,196,84.00,73.00,2025-05-17 15:47:49
"Student 1","9","Social Studies",62.00,0.00,65,52.00,92.00,2025-07-06 15:47:49
"Student 10","3","Math",94.00,0.00,87,94.00,87.00,2025-04-15 15:47:49
"Student 10","3","Reading",95.00,0.00,122,85.00,60.00,2025-06-21 15:47:49
"Student 10","3","Science",79.00,0.00,213,54.00,69.00,2025-05-26 15:47:49
"Student 10","3","Social Studies",79.00,0.00,103,99.00,79.00,2025-06-19 15:47:49
"Student 11","3","Math",51.00,0.00,134,63.00,65.00,2025-04-11 15:47:49
"Student 11","3","Reading",99.00,0.00,164,64.00,91.00,2025-05-31 15:47:49
"Student 11","3","Science",89.00,0.00,190,96.00,50.00,2025-06-10 15:47:49
"Student 11","3","Social Studies",63.00,0.00,187,65.00,89.00,2025-06-05 15:47:49
"Student 12","12","Math",61.00,0.00,221,65.00,81.00,2025-06-05 15:47:49
"Student 12","12","Reading",57.00,0.00,223,93.00,89.00,2025-04-14 15:47:49
"Student 12","12","Science",67.00,0.00,70,76.00,81.00,2025-06-07 15:47:49
"Student 12","12","Social Studies",92.00,0.00,143,50.00,98.00,2025-06-23 15:47:49
"Student 13","8","Math",51.00,0.00,78,60.00,80.00,2025-04-14 15:47:49
"Student 13","8","Reading",72.00,0.00,114,71.00,97.00,2025-05-03 15:47:49
"Student 13","8","Science",53.00,0.00,174,92.00,92.00,2025-04-23 15:47:49
"Student 13","8","Social Studies",77.00,0.00,244,73.00,95.00,2025-06-29 15:47:49
"Student 14","6","Math",70.00,0.00,249,62.00,75.00,2025-06-05 15:47:49
"Student 14","6","Reading",82.00,0.00,156,94.00,82.00,2025-05-31 15:47:49
"Student 14","6","Science",95.00,0.00,105,58.00,62.00,2025-05-21 15:47:49
"Student 14","6","Social Studies",65.00,0.00,123,93.00,93.00,2025-06-22 15:47:49
"Student 15","9","Math",50.00,0.00,92,64.00,54.00,2025-05-21 15:47:49
"Student 15","9","Reading",81.00,0.00,88,72.00,87.00,2025-04-15 15:47:49
"Student 15","9","Science",98.00,0.00,107,92.00,99.00,2025-07-03 15:47:49
"Student 15","9","Social Studies",53.00,0.00,170,62.00,76.00,2025-04-11 15:47:49
"Student 16","6","Math",74.00,0.00,91,91.00,77.00,2025-07-03 15:47:49
"Student 16","6","Reading",87.00,0.00,271,86.00,90.00,2025-05-27 15:47:49
"Student 16","6","Science",84.00,0.00,170,87.00,56.00,2025-06-08 15:47:49
"Student 16","6","Social Studies",95.00,0.00,104,81.00,99.00,2025-05-15 15:47:49
"Student 17","11","Math",71.00,0.00,196,98.00,51.00,2025-06-10 15:47:49
"Student 17","11","Reading",70.00,0.00,78,88.00,76.00,2025-04-15 15:47:49
"Student 17","11","Science",64.00,0.00,215,75.00,60.00,2025-05-18 15:47:49
"Student 17","11","Social Studies",70.00,0.00,227,67.00,95.00,2025-04-18 15:47:49
"Student 18","10","Math",94.00,0.00,112,84.00,67.00,2025-06-12 15:47:49
"Student 18","10","Reading",60.00,0.00,169,92.00,99.00,2025-04-29 15:47:49
"Student 18","10","Science",60.00,0.00,279,53.00,79.00,2025-06-20 15:47:49
"Student 18","10","Social Studies",91.00,0.00,45,86.00,56.00,2025-05-04 15:47:49
"Student 19","2","Math",86.00,0.00,53,86.00,88.00,2025-06-21 15:47:49
"Student 19","2","Reading",86.00,0.00,51,93.00,53.00,2025-06-04 15:47:49
"Student 19","2","Science",87.00,0.00,185,69.00,84.00,2025-04-12 15:47:49
"Student 19","2","Social Studies",68.00,0.00,215,53.00,76.00,2025-05-18 15:47:49
"Student 2","1","Math",75.00,0.00,49,69.00,81.00,2025-05-11 15:47:49
"Student 2","1","Reading",51.00,0.00,38,94.00,77.00,2025-06-26 15:47:49
"Student 2","1","Science",63.00,0.00,121,79.00,74.00,2025-04-18 15:47:49
"Student 2","1","Social Studies",67.00,0.00,271,93.00,74.00,2025-04-14 15:47:49
